bathrooms,bedrooms,external_features,internal_features,location,nearby,price,title
1,1,"Electric Fence,CCTV,Lift/Elevator,Parking,Gym,Wheelchair Access","Alarm,Service Charge Included,Backup Generator,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Furnished 1 Bed Apartment with Gym in Kilimani
3,2,"Balcony,BBQ,CCTV,Gym,Electric Fence,Lift/Elevator,Parking,Swimming Pool","Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included","Riverside, Westlands","Bus Stop,Hospital,School,Scenic View,Shopping Centre",250000,Serviced 2 Bed Apartment with En Suite in Riverside
3,3,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Parking,Swimming Pool","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Nyali Area, Nyali","Shopping Centre,Sea View,School,Scenic View,Hospital,Golf Course,Bus Stop",230000,3 Bed Apartment with En Suite in Nyali Area
2,2,"Gym,Electric Fence,Wheelchair Access,Swimming Pool,CCTV,Parking,Lift/Elevator,Balcony","Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",250000,Furnished 2 Bed Apartment with En Suite in Westlands Area
3,2,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","lavington, Lavington","Bus Stop,Shopping Centre,Hospital,Scenic View,School",200000,Serviced 2 Bed Apartment with En Suite at Lavington
3,2,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Swimming Pool,Wheelchair Access,Electric Fence,Garden,Gym","Aircon,Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished","kilimani, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",180000,Furnished 2 Bed Apartment with En Suite at Kilimani
3,3,"Balcony,BBQ,CCTV,Electric Fence,Gym,Lift/Elevator,Parking,Wheelchair Access","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kileleshwa,"Bus Stop,Hospital,School,Shopping Centre,Scenic View",130000,3 Bed Apartment with En Suite in Kileleshwa
3,2,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","westlands, Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",220000,Serviced 2 Bed Apartment with En Suite at Westlands
2,2,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Gym","Alarm,Backup Generator,En Suite,Fibre Internet",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",250000,2 Bed Apartment with En Suite in Kilimani
4,3,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","westlands, Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",165000,3 Bed Apartment with En Suite at Westlands
3,2,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Electric Fence,Garden,Gym,Wheelchair Access","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kilimani,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",85000,2 Bed Apartment with En Suite in Kilimani
3,3,"CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Gated Community","En Suite,Furnished,Service Charge Included","Rose avenue, 047, Kilimani","Bus Stop,Hospital,School,Shopping Centre",300000,Furnished 3 Bed Apartment with En Suite at Rose Avenue
2,2,"Balcony,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Kids Play Area,Pet Friendly","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet","General Mathenge Road, Westlands Area, Westlands","Golf Course,Bus Stop,Hospital,Scenic View,School,Shopping Centre",180000,2 Bed Apartment with En Suite at General Mathenge Road
3,3,"Gym,Wheelchair Access,Borehole,Electric Fence,Parking,CCTV,Balcony,Lift/Elevator","Service Charge Included,Alarm,Walk In Closet,En Suite,Fibre Internet,Furnished","School Lane, Westlands Area, Westlands","Shopping Centre,Bus Stop,Golf Course,Hospital,Scenic View,School",200000,Furnished 3 Bed Apartment with En Suite at School Lane
2,2,"Balcony,Lift/Elevator,Parking,BBQ,Swimming Pool,CCTV,Wheelchair Access,Electric Fence,Garden,Gym","Service Charge Included,Alarm,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished","kilimani, 100, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",180000,Furnished 2 Bed Apartment with En Suite at Kilimani
3,2,,En Suite,"Westlands Area, Westlands",,170000,2 Bed Apartment with En Suite in Westlands Area
4,3,"Kids Play Area,Pet Friendly,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gym,Garden,Borehole,Electric Fence,CCTV,Balcony","Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Alarm,Aircon","general mathenge, Westlands Area, Westlands","Shopping Centre,Hospital,Scenic View,School,Bus Stop",450000,3 Bed Apartment with En Suite at General Mathenge
1,1,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kileleshwa,"Bus Stop,Hospital,Shopping Centre,School",150000,Furnished 1 Bed Apartment with En Suite in Kileleshwa
3,4,Balcony,"En Suite,Furnished",Lavington,"Bus Stop,School,Shopping Centre",300000,Furnished 4 Bed Apartment with En Suite in Lavington
3,2,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","kileleshwa, Kileleshwa","Bus Stop,Shopping Centre,Hospital,Scenic View,School",200000,Serviced 2 Bed Apartment with En Suite at Kileleshwa
3,3,"Balcony,Lift/Elevator,BBQ,Parking,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Alarm,Service Charge Included,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",90000,3 Bed Apartment with En Suite in Kileleshwa
2,3,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Swimming Pool,Parking","En Suite,Fibre Internet,Service Charge Included",Kilimani,"Golf Course,Hospital,Scenic View,School,Shopping Centre",120000,3 Bed Apartment with En Suite in Kilimani
2,2,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Service Charge Included",Kileleshwa,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",150000,Furnished 2 Bed Apartment with En Suite in Kileleshwa
4,3,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Wheelchair Access,Swimming Pool,Parking,Lift/Elevator","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Kindaruma Road, Kilimani","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,3 Bed Apartment with En Suite at Kindaruma Road
3,2,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished","kilimani, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",140000,Furnished 2 Bed Apartment with En Suite at Kilimani
3,3,"Lift/Elevator,BBQ,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","Rhapta rd, Westlands Area, Westlands","Shopping Centre,Golf Course,Hospital,Scenic View,School",260000,Furnished 3 Bed Apartment with En Suite at Rhapta Rd
4,3,"Parking,Swimming Pool,Wheelchair Access,Electric Fence,Garden,Lift/Elevator,Balcony,Gym,CCTV","Walk In Closet,Service Charge Included,En Suite,Fibre Internet,Backup Generator,Aircon,Alarm","lavington, Lavington","Shopping Centre,Hospital,Scenic View,School,Bus Stop",220000,3 Bed Apartment with En Suite at Lavington
2,2,"CCTV,Lift/Elevator,Balcony,Parking,Electric Fence","En Suite,Walk In Closet,Service Charge Included","kilimani, Kilimani","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",75000,2 Bed Apartment with En Suite at Kilimani
2,2,"Balcony,Electric Fence,Gym,Lift/Elevator,Parking","En Suite,Fibre Internet,Furnished,Service Charge Included","Kilimani rd, Kilimani","Bus Stop,Hospital,School,Shopping Centre",140000,Furnished 2 Bed Apartment with En Suite at Kilimani Rd
3,3,"Gym,Garden,Electric Fence,Wheelchair Access,Swimming Pool,CCTV,BBQ,Parking,Lift/Elevator,Balcony","Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet","Rhapta rd, Westlands Area, Westlands","School,Scenic View,Hospital,Golf Course,Shopping Centre",265000,3 Bed Apartment with En Suite at Rhapta Rd
4,4,"Electric Fence,Borehole,Garden,Gym,CCTV,Parking,Lift/Elevator,Balcony,Pet Friendly,Staff Quarters,Swimming Pool","Backup Generator,Fibre Internet,En Suite,Service Charge Included,Walk In Closet,Alarm","General Mathenge, 01, Westlands","Golf Course,Hospital,Scenic View,School,Bus Stop,Shopping Centre",360000,4 Bed Apartment with En Suite at General Mathenge
4,4,"Balcony,BBQ,CCTV,Electric Fence,Gym,Lift/Elevator,Parking","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet",Kileleshwa,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",250000,4 Bed Apartment with En Suite in Kileleshwa
4,3,"Balcony,CCTV,Garden,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","En Suite,Backup Generator,Service Charge Included,Walk In Closet","Westlands Area, Westlands","Hospital,Scenic View,School,Shopping Centre",270000,3 Bed Apartment with En Suite in Westlands Area
4,4,"Balcony,BBQ,CCTV,Electric Fence,Garden,Parking","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included","walk to hardy Karen, Karen Hardy","Hospital,School,Shopping Centre",140000,4 Bed Apartment with En Suite at Walk To Hardy Karen
3,3,"Balcony,Lift/Elevator,Parking,CCTV,Swimming Pool,Electric Fence,Garden,Gym","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet","Kizingo, Mombasa Island","Bus Stop,Golf Course,Hospital,Scenic View,School,Sea View,Shopping Centre",200000,Furnished 3 Bed Apartment with En Suite in Kizingo
1,1,"Balcony,CCTV,Electric Fence,Gym,Lift/Elevator,Parking","Backup Generator,Fibre Internet,Furnished,Service Charge Included,Serviced",Kilimani,"Hospital,Scenic View,Shopping Centre",150000,Serviced 1 Bed Apartment with Gym in Kilimani
3,2,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Electric Fence,Garden,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kilimani,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",85000,2 Bed Apartment with En Suite in Kilimani
2,1,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Wheelchair Access","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kilimani,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",70000,1 Bed Apartment with En Suite in Kilimani
6,4,"Balcony,Parking,BBQ,Lift/Elevator,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished",Kileleshwa,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",380000,Serviced 4 Bed Apartment with En Suite in Kileleshwa
4,3,"Balcony,CCTV,Swimming Pool,Electric Fence,Gym,Parking,Lift/Elevator","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Riverside, Westlands","Scenic View,Shopping Centre",150000,3 Bed Apartment with En Suite at Riverside
2,1,"Balcony,Lift/Elevator,Parking,BBQ,Swimming Pool,CCTV,Wheelchair Access,Electric Fence,Garden,Gym","Alarm,Service Charge Included,Walk In Closet,Serviced,Backup Generator,En Suite,Fibre Internet,Furnished","Kangundo Road, Kileleshwa","Bus Stop,Shopping Centre,Hospital,School",140000,Serviced 1 Bed Apartment with En Suite at Kangundo Road
3,2,"Balcony,CCTV,Electric Fence,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included","Near Yaya Center, Kilimani","Scenic View,School,Shopping Centre",90000,2 Bed Apartment with En Suite at Near Yaya Center
4,3,"Balcony,CCTV,Electric Fence,Garden,Lift/Elevator,Parking,Gym","Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Riverside Drive, Westlands, Westlands Area","Scenic View,Shopping Centre",170000,3 Bed Apartment with En Suite at Riverside Drive
4,3,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Swimming Pool","Alarm,Backup Generator,En Suite,Furnished,Fibre Internet,Walk In Closet,Service Charge Included,Serviced","Riara Road, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",180000,Serviced 3 Bed Apartment with En Suite at Riara Road
2,2,"Balcony,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking","Alarm,Backup Generator,En Suite,Fibre Internet,Serviced,Service Charge Included","Gacharage area, Ruaka","Bus Stop,Hospital,Scenic View,School,Shopping Centre",45000,Serviced 2 Bed Apartment with En Suite at Gacharage Area
2,2,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Serviced,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet",Kilimani,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",110000,Serviced 2 Bed Apartment with En Suite in Kilimani
4,4,,"Aircon,Backup Generator,En Suite,Fibre Internet,Walk In Closet",Kilimani,,260000,4 Bed Apartment with En Suite in Kilimani
3,2,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Parklands, Westlands",,175000,2 Bed Apartment with En Suite in Parklands
2,1,"Balcony,Lift/Elevator,Parking,BBQ,Swimming Pool,CCTV,Wheelchair Access,Electric Fence,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished","Argwings Kodhek, Kilimani","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Serviced 1 Bed Apartment with En Suite at Argwings Kodhek
3,3,"BBQ,CCTV,Electric Fence,Parking,Balcony,Lift/Elevator","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Kiambu road, 01, Kiambu Road","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",60000,3 Bed Apartment with En Suite at Kiambu Road
3,2,"Gym,Garden,Electric Fence,Wheelchair Access,Swimming Pool,CCTV,BBQ,Parking,Lift/Elevator,Balcony","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","upper hill, Upper Hill","Bus Stop,Shopping Centre,Hospital,Scenic View,School",200000,Serviced 2 Bed Apartment with En Suite at Upper Hill
3,3,"BBQ,CCTV,Electric Fence,Parking,Lift/Elevator,Balcony","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included",Kiambu Road,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",62000,3 Bed Apartment with En Suite at Kiambu Road
4,3,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Aircon,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Riverside, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",150000,3 Bed Apartment with En Suite at Riverside
2,1,"Balcony,Lift/Elevator,Parking,BBQ,Swimming Pool,CCTV,Wheelchair Access,Electric Fence,Gym,Garden","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included,Walk In Closet","Yaya Center, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",160000,Serviced 1 Bed Apartment with En Suite at Yaya Center
4,4,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet",Kileleshwa,"Bus Stop,Golf Course,Hospital,School,Scenic View,Shopping Centre",350000,4 Bed Apartment with En Suite in Kileleshwa
2,2,"Balcony,Lift/Elevator,Parking,Wheelchair Access,Electric Fence,CCTV","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced",Lavington,"Bus Stop,Shopping Centre,Hospital,Scenic View,School",140000,Serviced 2 Bed Apartment with En Suite in Lavington
2,2,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Kitisuru, Westlands","Scenic View,School,Shopping Centre",160000,2 Bed Apartment with En Suite in Kitisuru
3,2,"Balcony,Lift/Elevator,Parking,BBQ,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included,Walk In Closet","Kangundo Road, Kileleshwa","Bus Stop,Hospital,Scenic View,School,Shopping Centre",180000,Serviced 2 Bed Apartment with En Suite at Kangundo Road
4,3,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Service Charge Included,Alarm,Backup Generator,En Suite,Fibre Internet","kilimani, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",130000,3 Bed Apartment with En Suite at Kilimani
2,1,"Balcony,BBQ,CCTV,Garden,Electric Fence,Gym,Wheelchair Access,Swimming Pool,Parking,Lift/Elevator","Alarm,Service Charge Included,Serviced,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished","Wood Avenue, Kilimani",,160000,Serviced 1 Bed Apartment with En Suite at Wood Avenue
5,5,"Gym,Wheelchair Access,Electric Fence,Swimming Pool,CCTV,Parking,Lift/Elevator,Balcony","Alarm,Backup Generator,En Suite,Fibre Internet","kilimani, 01, Kilimani","Bus Stop,Shopping Centre,Hospital,School",280000,5 Bed Apartment with En Suite at Kilimani
3,2,"Balcony,Lift/Elevator,Parking,Swimming Pool,CCTV,Electric Fence,Garden,Gym","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","kilimani, Kilimani","Bus Stop,Shopping Centre,Hospital,Scenic View,School",210000,Serviced 2 Bed Apartment with En Suite at Kilimani
4,4,"Gym,Wheelchair Access,Electric Fence,Swimming Pool,CCTV,Parking,Lift/Elevator,Balcony","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","kilimani, 01, Kilimani","Bus Stop,Shopping Centre,Hospital,School",380000,Furnished 4 Bed Apartment with En Suite at Kilimani
2,2,"Gym,Garden,Electric Fence,CCTV,Balcony,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access","Backup Generator,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished",Kileleshwa,"School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",250000,Furnished 2 Bed Apartment with En Suite in Kileleshwa
3,3,"Parking,Balcony,Garden,Gym",En Suite,"Westlands Area, Westlands",,260000,3 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,BBQ,CCTV,Electric Fence,Garden,Gym,Wheelchair Access,Parking,Lift/Elevator","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included",Kileleshwa,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",160000,2 Bed Apartment with En Suite in Kileleshwa
2,2,"Electric Fence,Wheelchair Access,CCTV,Balcony,Lift/Elevator,Parking,Garden,Swimming Pool,Gym","Backup Generator,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished",Lavington,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",200000,Furnished 2 Bed Apartment with En Suite in Lavington
3,3,"BBQ,CCTV,Electric Fence,Parking,Gym,Lift/Elevator,Balcony","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Riverside, 01, Westlands","Bus Stop,Golf Course,Scenic View,Hospital,School,Shopping Centre",150000,3 Bed Apartment with En Suite at Riverside
5,5,"BBQ,CCTV,Electric Fence,Parking,Balcony,Lift/Elevator,Swimming Pool","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General Mathenge, 01, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",360000,5 Bed Apartment with En Suite at General Mathenge
3,3,"Balcony,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet","Garden City, Garden Estate, Roysambu","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",160000,Furnished 3 Bed Apartment with En Suite at Garden City
5,5,"Balcony,Electric Fence,Borehole,Garden,Parking,Staff Quarters,Swimming Pool,Gated Community,Kids Play Area,Pet Friendly","En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Nyali Area, Nyali","Shopping Centre,Sea View,School,Scenic View,Hospital,Golf Course,Bus Stop",130000,5 Bed Apartment with En Suite in Nyali Area
3,3,"Balcony,Lift/Elevator,Kids Play Area,Pet Friendly,Parking,CCTV,Electric Fence,Staff Quarters,Swimming Pool,Borehole,Garden,Wheelchair Access,Gym","Service Charge Included,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",400000,Furnished 3 Bed Apartment with En Suite in Westlands Area
3,3,"Balcony,CCTV,Electric Fence,Borehole,Garden,Gym,Wheelchair Access,Swimming Pool,Parking,Lift/Elevator,Kids Play Area,Pet Friendly","Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet","ARGWINGS KODHEK RD, Kilimani","Bus Stop,Shopping Centre,Hospital,School,Scenic View",110000,3 Bed Apartment with En Suite at Argwings Kodhek Rd
3,3,"Balcony,Lift/Elevator,Kids Play Area,CCTV,Parking,Gym,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School",350000,Furnished 3 Bed Apartment with En Suite in Kileleshwa
3,3,"Balcony,Lift/Elevator,Kids Play Area,Pet Friendly,Parking,CCTV,Electric Fence,Staff Quarters,Borehole,Swimming Pool,Wheelchair Access,Gym","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",250000,3 Bed Apartment with En Suite in Westlands Area
2,2,"Pet Friendly,Kids Play Area,Lift/Elevator,Parking,Wheelchair Access,Gated Community,Gym,Garden,Borehole,Electric Fence,CCTV,Balcony","Service Charge Included,Fibre Internet,Furnished,Backup Generator,En Suite,Alarm,Aircon","westlands, Westlands Area, Westlands","Shopping Centre,Hospital,School,Scenic View,Bus Stop",180000,Furnished 2 Bed Apartment with En Suite at Westlands
4,4,"Balcony,CCTV,Parking,Lift/Elevator,Gym,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet",Lavington,"Bus Stop,Shopping Centre,Hospital,School",360000,4 Bed Apartment with En Suite in Lavington
3,3,"Balcony,Lift/Elevator,Parking,Staff Quarters,Electric Fence,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Hospital,School",250000,Furnished 3 Bed Apartment with En Suite in Kilimani
1,1,"Balcony,CCTV,Gym,Swimming Pool,Parking,Lift/Elevator","Backup Generator,Fibre Internet,Furnished,Aircon","WOOD AVENUE, Kilimani","Bus Stop,Golf Course,Scenic View,Hospital,School,Shopping Centre",150000,Furnished 1 Bed Apartment with Swimming Pool at Wood Avenue
2,3,"Balcony,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking","Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Lavington,"Bus Stop,Hospital,School,Shopping Centre",95000,3 Bed Apartment with En Suite in Lavington
2,3,"Parking,Balcony,CCTV,Swimming Pool,Electric Fence,Garden,Gym,Kids Play Area,Pet Friendly,Borehole","Backup Generator,En Suite,Fibre Internet,Service Charge Included","Riverside, Westlands","Bus Stop,Shopping Centre,Scenic View,School,Hospital",130000,3 Bed Apartment with En Suite in Riverside
4,3,"Balcony,Lift/Elevator,Parking,BBQ,CCTV,Electric Fence,Garden,Gym,Wheelchair Access","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included,Serviced","Laikipia road, Kileleshwa","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Serviced 3 Bed Apartment with En Suite at Laikipia Road
2,2,"Balcony,BBQ,CCTV,Electric Fence,Gym,Lift/Elevator,Parking,Wheelchair Access","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kileleshwa,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",90000,2 Bed Apartment with En Suite in Kileleshwa
2,2,"Balcony,CCTV,Electric Fence,Garden,Gym,Lift/Elevator,Parking,Swimming Pool,BBQ","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included,Walk In Closet","Rosslyn, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",215000,Serviced 2 Bed Apartment with En Suite in Rosslyn
5,5,"BBQ,Electric Fence,CCTV,Swimming Pool,Parking,Balcony,Lift/Elevator,Gym","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General Mathenge, 01, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",360000,5 Bed Apartment with En Suite at General Mathenge
2,2,"Balcony,BBQ,CCTV,Electric Fence,Gym,Lift/Elevator,Parking","Alarm,Backup Generator,Fibre Internet,Furnished","Westlands Area, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",130000,Furnished 2 Bed Apartment with Gym in Westlands Area
5,5,"BBQ,CCTV,Electric Fence,Parking,Balcony,Lift/Elevator,Gym,Swimming Pool","En Suite,Fibre Internet,Backup Generator,Walk In Closet,Service Charge Included","General Mathenge, 01, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",360000,5 Bed Apartment with En Suite at General Mathenge
4,3,"Balcony,Lift/Elevator,BBQ,Parking,Swimming Pool,CCTV,Electric Fence,Wheelchair Access,Garden,Gym","Alarm,Service Charge Included,Backup Generator,Walk In Closet,En Suite,Fibre Internet","Parklands, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",195000,3 Bed Apartment with En Suite in Parklands
